time,sinr,cdf
2,3.106085382298138e-06,0.0021141649048625794
2,3.302357071412212e-06,0.004228329809725159
2,3.35689246470392e-06,0.006342494714587738
2,3.4696932175848977e-06,0.008456659619450317
2,3.5778543755812995e-06,0.010570824524312896
2,3.8325103932369355e-06,0.012684989429175475
2,3.943616732685467e-06,0.014799154334038054
2,4.189824879304361e-06,0.016913319238900635
2,4.475894396095331e-06,0.019027484143763214
2,4.516301402329399e-06,0.021141649048625793
2,4.56534191021285e-06,0.023255813953488372
2,4.695120337669447e-06,0.02536997885835095
2,4.709200633718805e-06,0.02748414376321353
2,4.818235287340637e-06,0.02959830866807611
2,5.742055208940847e-06,0.03171247357293869
2,5.992007627568759e-06,0.03382663847780127
2,6.962111356357175e-06,0.035940803382663845
2,7.770951369659603e-06,0.03805496828752643
2,1.1814865077550161e-05,0.040169133192389
2,1.2150029248569657e-05,0.042283298097251586
2,1.2734515476170855e-05,0.04439746300211417
2,1.3713454767688665e-05,0.046511627906976744
2,1.4582880173175411e-05,0.048625792811839326
2,1.4749815601465926e-05,0.0507399577167019
2,1.5382400038238662e-05,0.052854122621564484
2,1.603951197757061e-05,0.05496828752642706
2,1.6570674200351308e-05,0.05708245243128964
2,1.6984656697221093e-05,0.05919661733615222
2,1.6993831790814515e-05,0.0613107822410148
2,1.704033750328533e-05,0.06342494714587738
2,1.7322900098200392e-05,0.06553911205073996
2,1.961120487520996e-05,0.06765327695560254
2,2.038073939281109e-05,0.06976744186046512
2,2.0521809657811935e-05,0.07188160676532769
2,2.0616709640204385e-05,0.07399577167019028
2,2.3776013714595666e-05,0.07610993657505286
2,2.3846196398881843e-05,0.07822410147991543
2,2.700922613499504e-05,0.080338266384778
2,2.7109981274925527e-05,0.0824524312896406
2,2.807179995590478e-05,0.08456659619450317
2,3.0034427916369203e-05,0.08668076109936575
2,3.3755558340906866e-05,0.08879492600422834
2,3.4192070704692996e-05,0.09090909090909091
2,3.8127991450432064e-05,0.09302325581395349
2,3.876093468302564e-05,0.09513742071881606
2,4.4060979055506096e-05,0.09725158562367865
2,4.5516875377518406e-05,0.09936575052854123
2,4.920792668167378e-05,0.1014799154334038
2,5.264434172954207e-05,0.10359408033826638
2,5.4400562724670674e-05,0.10570824524312897
2,5.789254643781717e-05,0.10782241014799154
2,5.967917912296798e-05,0.10993657505285412
2,6.064554843967107e-05,0.11205073995771671
2,6.117396288239185e-05,0.11416490486257928
2,6.381113064274204e-05,0.11627906976744186
2,6.60792415049457e-05,0.11839323467230443
2,6.954854255957061e-05,0.12050739957716702
2,7.177604413020104e-05,0.1226215644820296
2,7.66482760570038e-05,0.12473572938689217
2,7.777323357961647e-05,0.12684989429175475
2,8.113270495675562e-05,0.12896405919661733
2,8.325351116281124e-05,0.13107822410147993
2,8.47377726791366e-05,0.1331923890063425
2,8.669123942490614e-05,0.13530655391120508
2,8.704865276131967e-05,0.13742071881606766
2,9.63797683949663e-05,0.13953488372093023
2,0.0001004463006647335,0.1416490486257928
2,0.00010081774767991144,0.14376321353065538
2,0.00010368373617097007,0.14587737843551796
2,0.00010752102117143519,0.14799154334038056
2,0.00011131734981966474,0.15010570824524314
2,0.00011246457838725022,0.1522198731501057
2,0.00011386901315678632,0.1543340380549683
2,0.00011528491796636701,0.15644820295983086
2,0.00012495507091901906,0.15856236786469344
2,0.0001302959766412148,0.160676532769556
2,0.00013117026947445697,0.16279069767441862
2,0.0001344525042956794,0.1649048625792812
2,0.000138554831077817,0.16701902748414377
2,0.00014563392419000758,0.16913319238900634
2,0.00014876651431241982,0.17124735729386892
2,0.00014943460979309676,0.1733615221987315
2,0.0001604474358060881,0.17547568710359407
2,0.00016566522434221511,0.17758985200845667
2,0.0001679312186844253,0.17970401691331925
2,0.00017497622726644365,0.18181818181818182
2,0.0001774709069197347,0.1839323467230444
2,0.00018263220735105926,0.18604651162790697
2,0.0002083020577366901,0.18816067653276955
2,0.0002139761862212309,0.19027484143763213
2,0.00021794739690654714,0.19238900634249473
2,0.00022576665873953164,0.1945031712473573
2,0.00022690237872093291,0.19661733615221988
2,0.00025652008325649137,0.19873150105708245
2,0.00026916438747654663,0.20084566596194503
2,0.00028847068847364705,0.2029598308668076
2,0.000301411324202191,0.20507399577167018
2,0.0003017491271459987,0.20718816067653276
2,0.00030879754717985034,0.20930232558139536
2,0.0003098148443282795,0.21141649048625794
2,0.00031525904302686167,0.2135306553911205
2,0.0003282289529442845,0.2156448202959831
2,0.0003349397155958689,0.21775898520084566
2,0.00033756575149351196,0.21987315010570824
2,0.0003376132946521735,0.2219873150105708
2,0.0003611408279080476,0.22410147991543342
2,0.00037400175647536325,0.226215644820296
2,0.0003815645496215712,0.22832980972515857
2,0.00039369780022665104,0.23044397463002114
2,0.00039621814563200634,0.23255813953488372
2,0.00042437616732680537,0.2346723044397463
2,0.0004276227795116907,0.23678646934460887
2,0.00043836677829303916,0.23890063424947147
2,0.00043930406772791703,0.24101479915433405
2,0.00045109288586462574,0.24312896405919662
2,0.0005271646868017793,0.2452431289640592
2,0.0005538399808913922,0.24735729386892177
2,0.0005650959207111118,0.24947145877378435
2,0.0005893090739924901,0.25158562367864695
2,0.0006030441009247874,0.2536997885835095
2,0.0006363925244169155,0.2558139534883721
2,0.0006784935864928813,0.25792811839323465
2,0.0006823274619520176,0.26004228329809725
2,0.0006952737779041969,0.26215644820295986
2,0.0007035593487396892,0.2642706131078224
2,0.0007768705849962472,0.266384778012685
2,0.0007968620673754094,0.26849894291754756
2,0.0008230045179267953,0.27061310782241016
