id,latitude,longitude,x,y,cluster,centroid,radius
752292040,48.84834,2.25278,142.0,987.0,0,[2346.688 3037.417],1564.4232634530208
752290048,48.84694,2.25695,229.0,832.0,0,[2346.688 3037.417],1564.4232634530208
752290440,48.83861,2.27167,1290.0,142.0,0,[2346.688 3037.417],1564.4232634530208
752290493,48.83889,2.2625,621.0,122.0,0,[2346.688 3037.417],1564.4232634530208
752290178,48.84139,2.26889,1087.0,232.0,0,[2346.688 3037.417],1564.4232634530208
752290271,48.84528,2.2725,1351.0,650.0,0,[2346.688 3037.417],1564.4232634530208
752290262,48.84445,2.27972,1880.0,559.0,0,[2346.688 3037.417],1564.4232634530208
752290456,48.84139,2.28083,1961.0,232.0,0,[2346.688 3037.417],1564.4232634530208
752290206,48.84528,2.28473,2247.0,650.0,0,[2346.688 3037.417],1564.4232634530208
752291527,48.84167,2.25806,304.0,260.0,0,[2346.688 3037.417],1564.4232634530208
752290214,48.84389,2.26056,481.0,497.0,0,[2346.688 3037.417],1564.4232634530208
752290475,48.84416,2.26556,844.0,527.0,0,[2346.688 3037.417],1564.4232634530208
